Category,Message
spam,Exclusive Invitation: Double your cryptocurrency investments in just 48 hours with our automated Bitcoin trading bot! Join VIP club now.
spam,"Ref: 4920492. You have won a guaranteed cash prize of $5,000 or a trip to Bahamas! Call 09050000301 to claim today."
ham,"Good afternoon Rachel, Let me know if 3:00 PM works for a quick 15-minute sync on the marketing campaign. Have a great day, Olivia"
spam,"ACTION REQUIRED: Save 75% on health supplements, vitamins and male enhancement pills with free shipping. Download your prize confirmation certificate at http://rewards-winner.net"
ham,"Hi Alex, Let me know if 3:00 PM works for a quick 15-minute sync on the marketing campaign. Have a great day, Sophia"
spam,Exclusive Invitation: Double your cryptocurrency investments in just 48 hours with our automated Bitcoin trading bot! Join VIP club now.
spam,"Dear Winner, You have inherited $8.5 Million USD from a deceased relative. Reply with your passport and bank info to start transfer process."
spam,URGENT: Your account has been temporarily locked due to suspicious login attempts. Verify your details immediately at http://security-bank-auth.com to restore access.
spam,"Account Notification: Earn up to $3,000 every week working just 2 hours a day from your phone or laptop. Download your prize confirmation certificate at http://rewards-winner.net"
ham,"Dear Dr. Miller, Let me know if 3:00 PM works for a quick 15-minute sync on the marketing campaign. Sincerely, Noah"
ham,"Hi Mom, I arrived safely at the hotel. The flight was on time and everything went smoothly. Talk to you tomorrow!"
spam,"Congratulations! You have been selected to receive a $1,000 Walmart Gift Card! Click here to claim your prize now: http://claim-gift-now.com"
ham,"Hey Sarah, Attached is the agenda for our upcoming quarterly business review. Thanks, Noah"
ham,"Hi Alex, I will be out of the office next Tuesday for a doctor appointment. Best regards, Mia"
spam,Limited Time Offer: Refinance your mortgage today and save hundreds every month. No closing costs! Download your prize confirmation certificate at http://rewards-winner.net
ham,"Dear Dr. Miller, Your library books are due back in 3 days. Renew online if you need more time. Warmly, Daniel"
ham,"Dear Dr. Miller, The conference room for tomorrow's client presentation has been reserved. Warmly, Lucas"
ham,"Good afternoon Rachel, Please submit your travel expense reports by the end of the month for reimbursement. Cheers, Olivia"
ham,"Hey Sarah, The deployment to staging completed without any errors. Ready for QA testing. Talk soon, James"
spam,"Congratulations! You have been selected to receive a $1,000 Walmart Gift Card! Click here to claim your prize now: http://claim-gift-now.com"
spam,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18+ T&Cs apply.
ham,"Dear Dr. Miller, The deployment to staging completed without any errors. Ready for QA testing. Cheers, Lucas"
ham,"Hello Team, Your library books are due back in 3 days. Renew online if you need more time. Best regards, Sophia"
ham,"Hey Sarah, I will be out of the office next Tuesday for a doctor appointment. Sincerely, Liam"
ham,"Hi Robert, Thanks for the coffee catchup earlier! Let's follow up next week regarding the design. Best regards, Lucas"
ham,"Dear Dr. Miller, The deployment to staging completed without any errors. Ready for QA testing. Warmly, Liam"
ham,"Hey Sarah, The deployment to staging completed without any errors. Ready for QA testing. Best regards, Sophia"
ham,"Dear Dr. Miller, The deployment to staging completed without any errors. Ready for QA testing. Talk soon, Noah"
ham,"Hello Team, Attached is the agenda for our upcoming quarterly business review. Sincerely, Lucas"
ham,"Hi Alex, I reviewed your code changes and left a couple of minor comments on GitHub. Best regards, Emma"
ham,"Dear Customer, I will be out of the office next Tuesday for a doctor appointment. Have a great day, Liam"
ham,"Dear student, your assignment submission for CS 101 has been received and graded. Check the student portal for feedback."
spam,"Instant Cash Award: Urgent: Unrecognized login detected from Moscow, Russia. Secure your account now. Call toll-free 1-800-555-9122 now to claim before midnight."
ham,"Hey buddy, Your library books are due back in 3 days. Renew online if you need more time. Warmly, Liam"
ham,Your ride with Uber has completed. Total charged: $14.25. View your trip receipt in the app.
spam,"You have received 1 new pending wire transfer of $4,500.00. Click here to confirm transaction details and accept funds."
ham,"Dear Customer, Attached is the agenda for our upcoming quarterly business review. Warmly, Daniel"
ham,"Hi Robert, Your library books are due back in 3 days. Renew online if you need more time. Have a great day, Ava"
ham,"Hi Alex, Attached is the agenda for our upcoming quarterly business review. Warmly, Olivia"
spam,"URGENT ALERT: Earn up to $3,000 every week working just 2 hours a day from your phone or laptop. Hurry, offer expires in 6 hours! Act now."
spam,"Limited Time Offer: Hot discount deals on electronics, smartphones and laptops. Order now while stock lasts. Download your prize confirmation certificate at http://rewards-winner.net"
ham,"Hi Robert, Attached is the agenda for our upcoming quarterly business review. Sincerely, Noah"
ham,"Hi Alex, The deployment to staging completed without any errors. Ready for QA testing. Thanks, Mia"
ham,"Hey Sarah, Attached is the agenda for our upcoming quarterly business review. Thanks, Mia"
ham,"Hi Robert, Your library books are due back in 3 days. Renew online if you need more time. Cheers, Sophia"
ham,Hey! Are we still on for lunch tomorrow around 12:30? Let me know which restaurant you prefer.
spam,URGENT: Your account has been temporarily locked due to suspicious login attempts. Verify your details immediately at http://security-bank-auth.com to restore access.
ham,"Hi Robert, Please submit your travel expense reports by the end of the month for reimbursement. Talk soon, Emma"
ham,"Dear Customer, Here is the updated project roadmap following our team discussion yesterday. Sincerely, Liam"
spam,"Ref: 4920492. You have won a guaranteed cash prize of $5,000 or a trip to Bahamas! Call 09050000301 to claim today."
ham,"Good afternoon Rachel, Let me know if 3:00 PM works for a quick 15-minute sync on the marketing campaign. Best regards, Mia"
ham,"Hi everyone, Please submit your travel expense reports by the end of the month for reimbursement. Talk soon, Olivia"
ham,Your order #48291 has shipped! You can track your package delivery progress directly through the official carrier website.
ham,"Hi Mom, I arrived safely at the hotel. The flight was on time and everything went smoothly. Talk to you tomorrow!"
ham,"Hi Robert, The conference room for tomorrow's client presentation has been reserved. Have a great day, Mia"
ham,"Hi Alex, Please submit your travel expense reports by the end of the month for reimbursement. Talk soon, Mia"
spam,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18+ T&Cs apply.
spam,"Special Offer: Buy Viagra, Cialis and generic medication online without prescription. Fast discreet worldwide shipping. 80% discount."
ham,"Good morning David, Please review the attached contract draft and let me know if you have any changes. Sincerely, Noah"
ham,"Good afternoon Rachel, Please submit your travel expense reports by the end of the month for reimbursement. Best regards, Liam"
ham,"Dear student, your assignment submission for CS 101 has been received and graded. Check the student portal for feedback."
